CashIn_id;Date;Amount;SUM
1;2017/12/1;3000.00 ;3000.00 
2;2017/12/2;91.62 ;3091.62 
3;2017/12/3;21.07 ;3112.70 
4;2017/12/4;113.43 ;3226.13 
5;2017/12/5;6.37 ;3232.50 
6;2017/12/6;122.43 ;3354.93 
7;2017/12/7;90.20 ;3445.13 
8;2017/12/8;62.50 ;3507.63 
9;2017/12/9;137.00 ;3644.63 
10;2017/12/10;99.49 ;3744.11 
11;2017/12/11;37.15 ;3781.27 
12;2017/12/12;91.43 ;3872.70 
13;2017/12/13;120.64 ;3993.34 
14;2017/12/14;79.76 ;4073.10 
15;2017/12/15;92.97 ;4166.07 
16;2017/12/16;46.83 ;4212.90 
17;2017/12/17;133.68 ;4346.59 
18;2017/12/18;78.29 ;4424.88 
19;2017/12/19;137.22 ;4562.10 
20;2017/12/20;82.45 ;4644.55 
21;2017/12/21;249.83 ;4894.38 
22;2017/12/22;130.79 ;5025.17 
23;2017/12/23;97.62 ;5122.79 
24;2017/12/24;15.26 ;5138.05 
25;2017/12/25;267.89 ;5405.94 
26;2017/12/26;258.89 ;5664.83 
27;2017/12/27;160.32 ;5825.15 
28;2017/12/28;17.45 ;5842.60 
29;2017/12/29;267.75 ;6110.35 
30;2017/12/30;211.27 ;6321.62 
31;2017/12/31;13.82 ;6335.44 
32;2018/1/1;224.50 ;6559.94 
33;2018/1/2;236.01 ;6795.95 
34;2018/1/3;281.12 ;7077.07 
35;2018/1/4;173.20 ;7250.27 
36;2018/1/5;34.61 ;7284.88 
37;2018/1/6;203.12 ;7488.00 
38;2018/1/7;2.95 ;7490.96 
39;2018/1/8;8.76 ;7499.72 
40;2018/1/9;248.78 ;7748.50 
41;2018/1/10;115.49 ;7864.00 
42;2018/1/11;20.31 ;7884.30 
43;2018/1/12;103.57 ;7987.88 
44;2018/1/13;22.63 ;8010.50 
45;2018/1/14;487.58 ;8498.08 
46;2018/1/15;175.03 ;8673.11 
47;2018/1/16;165.87 ;8838.97 
48;2018/1/17;324.87 ;9163.84 
49;2018/1/18;349.64 ;9513.48 
50;2018/1/19;319.44 ;9832.92 
51;2018/1/20;491.99 ;10324.91 
52;2018/1/21;507.62 ;10832.53 
53;2018/1/22;445.22 ;11277.75 
54;2018/1/23;173.53 ;11451.28 
