OpDate;Cash_in;SumIn;30dayRate;30dayBack;60DayRate;60dayBack;90dayRate;90dayBack;30dayBackO;60dayBackO;90dayBackO;CashInHand;30dayInvestRate;30dayInvest;60dayInvestRate;60dayInvest;90dayInvestRate;90dayInvest;Inpool;PoolRate;dayInvest;SumInvest
2017/12/1;3000;3000;0.001666667;;0.005;;0.01;;;;;3000;0.29;871.67;0.25;755.7;0.37;1098.78;273.85;0.09;2726.15;2726.15
2017/12/2;12.92;3012.92;0.001666667;;0.005;;0.01;;;;;286.77;0.26;73.51;0.29;83.01;0.39;111.11;19.14;0.07;267.63;2993.78
2017/12/3;135.38;3148.3;0.001666667;;0.005;;0.01;;;;;154.52;0.29;44.91;0.28;43.49;0.37;57.86;8.26;0.05;146.26;3140.04
2017/12/4;70.08;3218.38;0.001666667;;0.005;;0.01;;;;;78.34;0.28;21.82;0.28;22.13;0.38;29.52;4.88;0.06;73.46;3213.5
2017/12/5;34.32;3252.69;0.001666667;;0.005;;0.01;;;;;39.19;0.26;10.02;0.28;11.12;0.37;14.32;3.73;0.1;35.47;3248.97
2017/12/6;8.8;3261.5;0.001666667;;0.005;;0.01;;;;;12.53;0.26;3.3;0.3;3.72;0.39;4.86;0.65;0.05;11.88;3260.85
2017/12/7;7.24;3268.74;0.001666667;;0.005;;0.01;;;;;7.89;0.27;2.11;0.26;2.07;0.37;2.88;0.83;0.11;7.06;3267.91
2017/12/8;128.04;3396.78;0.001666667;;0.005;;0.01;;;;;128.87;0.27;35.31;0.29;37.4;0.36;46.84;9.33;0.07;119.55;3387.45
2017/12/9;64.22;3461;0.001666667;;0.005;;0.01;;;;;73.55;0.3;21.88;0.26;19.15;0.38;28.15;4.37;0.06;69.17;3456.62
2017/12/10;46.27;3507.27;0.001666667;;0.005;;0.01;;;;;50.65;0.28;14.03;0.29;14.73;0.38;19.15;2.73;0.05;47.91;3504.53
2017/12/11;98.61;3605.88;0.001666667;;0.005;;0.01;;;;;101.35;0.27;26.89;0.26;26.61;0.38;38.07;9.79;0.1;91.56;3596.1
2017/12/12;140.31;3746.19;0.001666667;;0.005;;0.01;;;;;150.1;0.28;41.46;0.29;43.61;0.39;58.3;6.73;0.04;143.36;3739.46
2017/12/13;82.87;3829.07;0.001666667;;0.005;;0.01;;;;;89.6;0.26;23.44;0.25;22.72;0.35;31.73;11.71;0.13;77.89;3817.35
2017/12/14;63.57;3892.63;0.001666667;;0.005;;0.01;;;;;75.28;0.27;20.12;0.29;21.72;0.39;29.32;4.13;0.05;71.16;3888.51
2017/12/15;62.62;3955.25;0.001666667;;0.005;;0.01;;;;;66.74;0.27;18.19;0.29;19.13;0.37;24.76;4.66;0.07;62.09;3950.6
2017/12/16;128.13;4083.39;0.001666667;;0.005;;0.01;;;;;132.79;0.26;34.02;0.26;34.12;0.35;46.57;18.07;0.14;114.72;4065.32
2017/12/17;35.43;4118.82;0.001666667;;0.005;;0.01;;;;;53.5;0.29;15.72;0.26;13.88;0.36;19.02;4.89;0.09;48.61;4113.93
2017/12/18;88.33;4207.15;0.001666667;;0.005;;0.01;;;;;93.22;0.27;24.82;0.29;27.21;0.38;35.1;6.09;0.07;87.13;4201.06
2017/12/19;125.16;4332.31;0.001666667;;0.005;;0.01;;;;;131.25;0.26;33.5;0.29;38.56;0.36;46.99;12.19;0.09;119.06;4320.12
2017/12/20;115.86;4448.17;0.001666667;;0.005;;0.01;;;;;128.05;0.27;34.36;0.27;34.46;0.37;47.85;11.38;0.09;116.67;4436.79
2017/12/21;110.15;4558.32;0.001666667;;0.005;;0.01;;;;;121.53;0.26;31.9;0.3;36.4;0.39;47.53;5.71;0.05;115.83;4552.62
2017/12/22;32.91;4591.24;0.001666667;;0.005;;0.01;;;;;38.62;0.27;10.43;0.29;11.37;0.36;14.07;2.75;0.07;35.87;4588.49
2017/12/23;63.17;4654.41;0.001666667;;0.005;;0.01;;;;;65.92;0.25;16.7;0.3;19.53;0.39;25.68;4.02;0.06;61.91;4650.39
2017/12/24;71.62;4726.03;0.001666667;;0.005;;0.01;;;;;75.64;0.25;19.06;0.27;20.05;0.36;27.37;9.16;0.12;66.48;4716.88
2017/12/25;144.74;4870.77;0.001666667;;0.005;;0.01;;;;;153.89;0.25;38.81;0.29;44.45;0.38;58.95;11.68;0.08;142.21;4859.09
2017/12/26;120.57;4991.34;0.001666667;;0.005;;0.01;;;;;132.25;0.25;33.19;0.28;36.8;0.37;48.38;13.89;0.1;118.37;4977.46
2017/12/27;288.08;5279.42;0.001666667;;0.005;;0.01;;;;;301.96;0.27;80.29;0.27;82;0.35;107.19;32.49;0.11;269.47;5246.93
2017/12/28;252.29;5531.71;0.001666667;;0.005;;0.01;;;;;284.78;0.3;84.97;0.29;82.84;0.4;112.51;4.47;0.02;280.32;5527.25
2017/12/29;166.43;5698.14;0.001666667;;0.005;;0.01;;;;;170.89;0.3;50.79;0.27;45.47;0.37;62.97;11.66;0.07;159.23;5686.48
2017/12/30;185.7;5883.84;0.001666667;873.13;0.005;;0.01;;871.67;;;1942.16;0.28;542.62;0.29;563.5;0.35;683.53;152.51;0.08;1789.65;6604.46
2017/12/31;257.29;6141.13;0.001666667;73.63;0.005;;0.01;;73.51;;;556.94;0.29;159.2;0.29;160.24;0.38;213.07;24.44;0.04;532.5;7063.45
2018/1/1;159.39;6300.52;0.001666667;44.98;0.005;;0.01;;44.91;;;273.72;0.28;76.94;0.27;73.37;0.4;108.46;14.95;0.05;258.77;7277.32
2018/1/2;230.82;6531.35;0.001666667;21.85;0.005;;0.01;;21.82;;;289.44;0.28;81.14;0.3;86.76;0.37;106.12;15.42;0.05;274.02;7529.52
2018/1/3;261.98;6793.32;0.001666667;10.04;0.005;;0.01;;10.02;;;297.46;0.26;78.45;0.3;89.15;0.38;112.38;17.48;0.06;279.97;7799.47
2018/1/4;253.29;7046.61;0.001666667;3.31;0.005;;0.01;;3.3;;;277.38;0.26;71.15;0.25;69.41;0.4;109.98;26.84;0.1;250.53;8046.71
2018/1/5;2.57;7049.17;0.001666667;2.11;0.005;;0.01;;2.11;;;33.62;0.29;9.91;0.27;9.17;0.38;12.71;1.83;0.05;31.79;8076.39
2018/1/6;171.82;7221;0.001666667;35.37;0.005;;0.01;;35.31;;;244.33;0.27;66.15;0.29;71.62;0.37;90.64;15.92;0.07;228.41;8269.49
2018/1/7;264.48;7485.47;0.001666667;21.91;0.005;;0.01;;21.88;;;324.18;0.26;83.24;0.25;82.38;0.36;117.32;41.24;0.13;282.94;8530.56
2018/1/8;286.8;7772.27;0.001666667;14.05;0.005;;0.01;;14.03;;;356.11;0.28;98.35;0.25;89.41;0.39;140.26;28.09;0.08;328.02;8844.55
2018/1/9;245.14;8017.41;0.001666667;26.93;0.005;;0.01;;26.89;;;327.06;0.28;93.04;0.28;91.58;0.38;124.26;18.17;0.06;308.88;9126.55
2018/1/10;191.51;8208.92;0.001666667;41.53;0.005;;0.01;;41.46;;;292.67;0.29;85.37;0.26;77.07;0.37;108.54;21.69;0.07;270.98;9356.07
2018/1/11;19.79;8228.71;0.001666667;23.48;0.005;;0.01;;23.44;;;88.39;0.29;25.92;0.28;25.13;0.37;32.54;4.81;0.05;83.58;9416.22
2018/1/12;39.69;8268.39;0.001666667;20.15;0.005;;0.01;;20.12;;;84.77;0.27;23.11;0.27;22.66;0.39;32.8;6.2;0.07;78.57;9474.66
