InvestDetail_id;Date;Invest_id;Amount;Back_id
1;2017/12/1;Inv3;865.21 ;1 
2;2017/12/2;Inv3;98.96 ;1 
3;2017/12/3;Inv3;45.39 ;1 
4;2017/12/4;Inv3;6.56 ;1 
5;2017/12/5;Inv3;9.00 ;1 
6;2017/12/6;Inv3;20.58 ;1 
7;2017/12/7;Inv3;17.78 ;1 
8;2017/12/8;Inv3;9.43 ;1 
9;2017/12/9;Inv3;8.24 ;1 
10;2017/12/10;Inv3;10.78 ;1 
11;2017/12/11;Inv3;7.24 ;1 
12;2017/12/12;Inv3;39.11 ;1 
13;2017/12/13;Inv3;2.71 ;1 
14;2017/12/14;Inv3;28.47 ;1 
15;2017/12/15;Inv3;14.14 ;1 
16;2017/12/16;Inv3;25.90 ;1 
17;2017/12/17;Inv3;28.10 ;1 
18;2017/12/18;Inv3;37.15 ;1 
19;2017/12/19;Inv3;25.43 ;1 
20;2017/12/20;Inv3;7.32 ;1 
21;2017/12/21;Inv3;34.99 ;1 
22;2017/12/22;Inv3;62.52 ;1 
23;2017/12/23;Inv3;51.11 ;1 
24;2017/12/24;Inv3;56.71 ;1 
25;2017/12/25;Inv3;73.22 ;1 
26;2017/12/26;Inv3;55.31 ;1 
27;2017/12/27;Inv3;61.16 ;1 
28;2017/12/28;Inv3;74.77 ;1 
29;2017/12/29;Inv3;44.06 ;1 
30;2017/12/30;Inv3;482.61 ;1 
31;2017/12/31;Inv3;163.45 ;1 
32;2018/1/1;Inv3;57.86 ;1 
33;2018/1/2;Inv3;65.68 ;1 
34;2018/1/3;Inv3;48.51 ;1 
35;2018/1/4;Inv3;67.40 ;1 
36;2018/1/5;Inv3;30.80 ;1 
37;2018/1/6;Inv3;8.02 ;1 
38;2018/1/7;Inv3;17.43 ;1 
39;2018/1/8;Inv3;31.53 ;1 
40;2018/1/9;Inv3;65.57 ;1 
41;2018/1/10;Inv3;36.19 ;1 
42;2018/1/11;Inv3;31.03 ;1 
43;2018/1/12;Inv3;20.59 ;1 
44;2018/1/13;Inv3;49.52 ;1 
45;2018/1/14;Inv3;42.47 ;1 
46;2018/1/15;Inv3;167.54 ;1 
47;2018/1/16;Inv3;71.67 ;1 
48;2018/1/17;Inv3;183.64 ;1 
49;2018/1/18;Inv3;94.91 ;1 
50;2018/1/19;Inv3;84.37 ;1 
51;2018/1/20;Inv3;47.29 ;1 
52;2018/1/21;Inv3;105.59 ;1 
53;2018/1/22;Inv3;121.09 ;1 
54;2018/1/23;Inv3;124.88 ;1 
55;2018/1/24;Inv3;116.46 ;1 
56;2018/1/25;Inv3;127.43 ;1 
57;2018/1/26;Inv3;123.49 ;1 
58;2018/1/27;Inv3;138.43 ;1 
59;2018/1/28;Inv3;337.35 ;1 
60;2018/1/29;Inv3;235.74 ;1 
61;2018/1/30;Inv3;136.57 ;1 
62;2018/1/31;Inv3;85.27 ;1 
63;2018/2/1;Inv3;514.50 ;1 
64;2018/2/2;Inv3;160.69 ;1 
65;2018/2/3;Inv3;106.02 ;1 
66;2018/2/4;Inv3;94.30 ;1 
67;2018/2/5;Inv3;42.35 ;1 
68;2018/2/6;Inv3;173.71 ;1 
69;2018/2/7;Inv3;152.95 ;1 
70;2018/2/8;Inv3;177.77 ;1 
71;2018/2/9;Inv3;187.77 ;1 
72;2018/2/10;Inv3;29.49 ;1 
73;2018/2/11;Inv3;172.23 ;1 
74;2018/2/12;Inv3;217.22 ;1 
75;2018/2/13;Inv3;132.53 ;1 
76;2018/2/14;Inv3;236.07 ;1 
77;2018/2/15;Inv3;292.57 ;1 
78;2018/2/16;Inv3;117.42 ;1 
79;2018/2/17;Inv3;83.43 ;1 
80;2018/2/18;Inv3;149.61 ;1 
81;2018/2/19;Inv3;199.78 ;1 
82;2018/2/20;Inv3;233.46 ;1 
83;2018/2/21;Inv3;194.22 ;1 
84;2018/2/22;Inv3;123.70 ;1 
